Program,Applicant ID,Category,Z score
Propel,35182622,Category 6,-0.58
Propel,35182622,Category 7,-1.15
Propel,35182622,Category 8,0.25
Propel,35184564,Category 1,1.00
Propel,35184564,Category 2,1.05
Propel,35184564,Category 3,0.44
Propel,35184564,Category 4,1.24
Propel,35184564,Category 5,0.43
Propel,35184564,Category 6,0.80
Propel,35184564,Category 7,-0.02
Propel,35184564,Category 8,1.75
Propel,35184588,Category 1,1.00
Propel,35184588,Category 2,2.63
Propel,35184588,Category 3,1.73
Propel,35184588,Category 4,1.84
Propel,35184588,Category 5,2.14
Propel,35184588,Category 6,2.17
Propel,35184588,Category 7,2.23
Propel,35184588,Category 8,1.24
Propel,35184643,Category 1,-2.87
Propel,35184643,Category 2,-1.58
Propel,35184643,Category 3,-1.72
Propel,35184643,Category 4,-2.34
Propel,35184643,Category 5,-2.41
Propel,35184643,Category 6,-1.49
Propel,35184643,Category 7,-1.71
Propel,35184643,Category 8,-1.25
Propel,35186851,Category 1,-0.29
Propel,35186851,Category 2,0.00
Propel,35186851,Category 3,0.00
Propel,35186851,Category 4,-0.55
Propel,35186851,Category 5,-1.28
Propel,35186851,Category 6,-1.04
Propel,35186851,Category 7,0.54
Propel,35186851,Category 8,-1.76
Propel,35188832,Category 1,-0.29
Propel,35188832,Category 2,0.00
Propel,35188832,Category 3,0.44
Propel,35188832,Category 4,0.64
Propel,35188832,Category 5,-0.14
Propel,35188832,Category 6,0.34
Propel,35188832,Category 7,-0.02
Propel,35188832,Category 8,-0.76
Propel,35188966,Category 1,0.78
Propel,35188966,Category 2,0.26
Propel,35188966,Category 3,0.44
Propel,35188966,Category 4,-0.25
Propel,35188966,Category 5,0.15
Propel,35188966,Category 6,0.80
Propel,35188966,Category 7,0.26
Propel,35188966,Category 8,-0.01
Propel,35189371,Category 1,-0.73
Propel,35189371,Category 2,-1.05
Propel,35189371,Category 3,-0.86
Propel,35189371,Category 4,-0.55
Propel,35189371,Category 5,-0.71
Propel,35189371,Category 6,-1.04
Propel,35189371,Category 7,-0.58
Propel,35189371,Category 8,-0.26
Propel,35189981,Category 1,-0.29
Propel,35189981,Category 2,-0.53
Propel,35189981,Category 3,-0.42
Propel,35189981,Category 4,0.05
Propel,35189981,Category 5,-1.28
Propel,35189981,Category 6,-1.04
Propel,35189981,Category 7,-1.15
Propel,35189981,Category 8,-0.76
Propel,35190430,Category 1,-1.15
Propel,35190430,Category 2,-1.58
Propel,35190430,Category 3,-1.29
Propel,35190430,Category 4,-0.55
Propel,35190430,Category 5,-0.71
Propel,35190430,Category 6,-0.58
Propel,35190430,Category 7,-0.58
Propel,35190430,Category 8,-1.25
Leap,34859062,Category 1,-0.71
Leap,34859062,Category 2,-0.71
Leap,34859062,Category 3,-1.07
Leap,34859062,Category 4,1.41
Leap,34859062,Category 5,1.22
Leap,34859062,Category 6,1.41
Leap,34859062,Category 7,0.71
Leap,34859062,Category 8,0.71
Leap,35068170,Category 1,-0.71
Leap,35068170,Category 2,-0.71
Leap,35068170,Category 3,-0.27
Leap,35068170,Category 4,-0.71
Leap,35068170,Category 5,0.00
Leap,35068170,Category 6,-0.71
Leap,35068170,Category 7,0.71
Leap,35068170,Category 8,0.71
Leap,35087533,Category 1,1.41
Leap,35087533,Category 2,1.41
Leap,35087533,Category 3,1.34
Leap,35087533,Category 4,-0.71
Leap,35087533,Category 5,-1.22
Leap,35087533,Category 6,-0.71
Leap,35087533,Category 7,-1.41
Leap,35087533,Category 8,-1.41
New directions,34861594,Category 1,-0.27
New directions,34861594,Category 2,1.34
New directions,34861594,Category 3,0.86
New directions,34861594,Category 4,0.71
New directions,34861594,Category 5,1.22
New directions,34861594,Category 6,0.00
New directions,34861594,Category 7,0.00
New directions,34861594,Category 8,-1.22
New directions,35179272,Category 1,1.34
New directions,35179272,Category 2,-0.27
New directions,35179272,Category 3,0.54
New directions,35179272,Category 4,0.71
New directions,35179272,Category 5,0.00
New directions,35179272,Category 6,0.00
New directions,35179272,Category 7,1.22
New directions,35179272,Category 8,1.22
New directions,35188492,Category 1,-1.07
New directions,35188492,Category 2,-1.07
New directions,35188492,Category 3,-1.40
New directions,35188492,Category 4,-1.41
New directions,35188492,Category 5,-1.22
New directions,35188492,Category 6,0.00
New directions,35188492,Category 7,-1.22
New directions,35188492,Category 8,0.00
