Program,Applicant ID,Category,Z score
Bridge,35171136,1,-0.17
Bridge,35171136,2,0.98
Bridge,35171136,3,0.17
Bridge,35171136,4,1.30
Bridge,35171136,5,0.23
Bridge,35171136,6,0.26
Bridge,35171136,7,0.83
Bridge,35171136,8,-0.21
Bridge,35176373,1,-1.23
Bridge,35176373,2,-0.91
Bridge,35176373,3,-0.91
Bridge,35176373,4,-0.55
Bridge,35176373,5,-1.02
Bridge,35176373,6,-0.79
Bridge,35176373,7,-1.39
Bridge,35176373,8,-1.37
Bridge,35183040,1,-0.17
Bridge,35183040,2,-1.29
Bridge,35183040,3,-0.91
Bridge,35183040,4,-1.47
Bridge,35183040,5,-2.26
Bridge,35183040,6,-0.26
Bridge,35183040,7,-1.94
Bridge,35183040,8,-0.79
Bridge,35184181,1,0.36
Bridge,35184181,2,0.60
Bridge,35184181,3,0.17
Bridge,35184181,4,-0.55
Bridge,35184181,5,0.85
Bridge,35184181,6,0.26
Bridge,35184181,7,0.28
Bridge,35184181,8,-0.21
Bridge,35185133,1,-0.17
Bridge,35185133,2,-0.91
Bridge,35185133,3,0.17
Bridge,35185133,4,-0.08
Bridge,35185133,5,0.23
Bridge,35185133,6,0.26
Bridge,35185133,7,0.83
Bridge,35185133,8,-0.21
Bridge,35187756,1,-1.75
Bridge,35187756,2,-0.15
Bridge,35187756,3,-1.45
Bridge,35187756,4,-1.47
Bridge,35187756,5,-1.64
Bridge,35187756,6,-1.32
Bridge,35187756,7,0.28
Bridge,35187756,8,-0.79
Bridge,35188732,1,0.89
Bridge,35188732,2,0.60
Bridge,35188732,3,-0.91
Bridge,35188732,4,0.84
Bridge,35188732,5,0.23
Bridge,35188732,6,0.26
Bridge,35188732,7,-0.28
Bridge,35188732,8,-0.79
Bridge,35188744,1,0.89
Bridge,35188744,2,1.36
Bridge,35188744,3,1.26
Bridge,35188744,4,1.30
Bridge,35188744,5,2.09
Bridge,35188744,6,1.84
Bridge,35188744,7,1.39
Bridge,35188744,8,0.37
Bridge,35188873,1,0.89
Bridge,35188873,2,0.98
Bridge,35188873,3,1.26
Bridge,35188873,4,1.30
Bridge,35188873,5,0.23
Bridge,35188873,6,0.79
Bridge,35188873,7,1.39
Bridge,35188873,8,1.53
Bridge,35189192,1,-1.23
Bridge,35189192,2,-0.91
Bridge,35189192,3,-0.37
Bridge,35189192,4,0.84
Bridge,35189192,5,0.23
Bridge,35189192,6,-0.26
Bridge,35189192,7,-0.28
Bridge,35189192,8,0.95
Bridge,35189999,1,1.95
Bridge,35189999,2,0.98
Bridge,35189999,3,1.26
Bridge,35189999,4,1.76
Bridge,35189999,5,1.47
Bridge,35189999,6,1.84
Bridge,35189999,7,1.94
Bridge,35189999,8,0.95
Bridge,35190352,1,0.36
Bridge,35190352,2,0.98
Bridge,35190352,3,1.26
Bridge,35190352,4,0.84
Bridge,35190352,5,0.23
Bridge,35190352,6,0.79
Bridge,35190352,7,-0.28
Bridge,35190352,8,1.53
Bridge,35219564,1,-0.70
Bridge,35219564,2,-0.91
Bridge,35219564,3,0.17
Bridge,35219564,4,-1.01
Bridge,35219564,5,0.23
Bridge,35219564,6,-0.26
Bridge,35219564,7,0.28
Bridge,35219564,8,-0.21
Propel,34393185,1,-0.29
Propel,34393185,2,-1.05
Propel,34393185,3,-0.86
Propel,34393185,4,-1.15
Propel,34393185,5,-0.93
Propel,34393185,6,-1.49
Propel,34393185,7,-1.15
Propel,34393185,8,-0.76
Propel,34513696,1,0.14
Propel,34513696,2,-1.05
Propel,34513696,3,-1.72
Propel,34513696,4,0.05
Propel,34513696,5,-1.28
Propel,34513696,6,-0.58
Propel,34513696,7,-1.15
Propel,34513696,8,0.25
Propel,34820223,1,0.14
Propel,34820223,2,0.00
Propel,34820223,3,0.87
Propel,34820223,4,0.64
Propel,34820223,5,-0.14
Propel,34820223,6,0.80
Propel,34820223,7,1.11
Propel,34820223,8,0.74
Propel,34841738,1,-0.73
Propel,34841738,2,-1.05
Propel,34841738,3,-1.72
Propel,34841738,4,-0.55
Propel,34841738,5,-0.14
Propel,34841738,6,-0.58
Propel,34841738,7,-0.58
Propel,34841738,8,-0.26
Propel,34857989,1,1.00
Propel,34857989,2,1.05
Propel,34857989,3,1.30
Propel,34857989,4,1.24
Propel,34857989,5,0.43
Propel,34857989,6,1.71
Propel,34857989,7,1.11
Propel,34857989,8,0.25
Propel,34874553,1,0.56
Propel,34874553,2,1.05
Propel,34874553,3,0.44
Propel,34874553,4,0.05
Propel,34874553,5,0.43
Propel,34874553,6,1.26
Propel,34874553,7,0.54
Propel,34874553,8,1.75
Propel,34972676,1,1.00
Propel,34972676,2,1.05
Propel,34972676,3,0.87
Propel,34972676,4,0.05
Propel,34972676,5,0.43
Propel,34972676,6,0.80
Propel,34972676,7,1.11
Propel,34972676,8,0.74
Propel,35072638,1,1.00
Propel,35072638,2,0.53
Propel,35072638,3,0.44
Propel,35072638,4,1.24
Propel,35072638,5,0.43
Propel,35072638,6,-0.12
Propel,35072638,7,1.11
Propel,35072638,8,0.25
Propel,35128373,1,0.14
Propel,35128373,2,0.00
Propel,35128373,3,0.87
Propel,35128373,4,0.05
Propel,35128373,5,0.43
Propel,35128373,6,-0.12
Propel,35128373,7,-0.02
Propel,35128373,8,-0.26
Propel,35169072,1,0.56
Propel,35169072,2,0.00
Propel,35169072,3,0.00
Propel,35169072,4,0.05
Propel,35169072,5,-0.71
Propel,35169072,6,-0.58
Propel,35169072,7,-0.02
Propel,35169072,8,-1.25
Propel,35174528,1,-0.51
Propel,35174528,2,0.26
Propel,35174528,3,-0.53
Propel,35174528,4,-0.70
Propel,35174528,5,-1.13
Propel,35174528,6,-0.23
Propel,35174528,7,-1.01
Propel,35174528,8,-0.38
Propel,35182570,1,1.42
Propel,35182570,2,0.53
Propel,35182570,3,1.30
Propel,35182570,4,1.24
Propel,35182570,5,1.00
Propel,35182570,6,0.80
Propel,35182570,7,1.11
Propel,35182570,8,1.75
Propel,35182622,1,-1.58
Propel,35182622,2,-0.53
Propel,35182622,3,0.00
Propel,35182622,4,-1.74
Propel,35182622,5,-1.84
Propel,35182622,6,-0.58
Propel,35182622,7,-1.15
Propel,35182622,8,0.25
Propel,35184564,1,1.00
Propel,35184564,2,1.05
Propel,35184564,3,0.44
Propel,35184564,4,1.24
Propel,35184564,5,0.43
Propel,35184564,6,0.80
Propel,35184564,7,-0.02
Propel,35184564,8,1.75
Propel,35184588,1,1.00
Propel,35184588,2,2.63
Propel,35184588,3,1.73
Propel,35184588,4,1.84
Propel,35184588,5,2.14
Propel,35184588,6,2.17
Propel,35184588,7,2.23
Propel,35184588,8,1.24
Propel,35184643,1,-2.87
Propel,35184643,2,-1.58
Propel,35184643,3,-1.72
Propel,35184643,4,-2.34
Propel,35184643,5,-2.41
Propel,35184643,6,-1.49
Propel,35184643,7,-1.71
Propel,35184643,8,-1.25
Propel,35186851,1,-0.29
Propel,35186851,2,0.00
Propel,35186851,3,0.00
Propel,35186851,4,-0.55
Propel,35186851,5,-1.28
Propel,35186851,6,-1.04
Propel,35186851,7,0.54
Propel,35186851,8,-1.76
Propel,35188832,1,-0.29
Propel,35188832,2,0.00
Propel,35188832,3,0.44
Propel,35188832,4,0.64
Propel,35188832,5,-0.14
Propel,35188832,6,0.34
Propel,35188832,7,-0.02
Propel,35188832,8,-0.76
Propel,35188966,1,0.78
Propel,35188966,2,0.26
Propel,35188966,3,0.44
Propel,35188966,4,-0.25
Propel,35188966,5,0.15
Propel,35188966,6,0.80
Propel,35188966,7,0.26
Propel,35188966,8,-0.01
Propel,35189371,1,-0.73
Propel,35189371,2,-1.05
Propel,35189371,3,-0.86
Propel,35189371,4,-0.55
Propel,35189371,5,-0.71
Propel,35189371,6,-1.04
Propel,35189371,7,-0.58
Propel,35189371,8,-0.26
Propel,35189981,1,-0.29
Propel,35189981,2,-0.53
Propel,35189981,3,-0.42
Propel,35189981,4,0.05
Propel,35189981,5,-1.28
Propel,35189981,6,-1.04
Propel,35189981,7,-1.15
Propel,35189981,8,-0.76
Propel,35190430,1,-1.15
Propel,35190430,2,-1.58
Propel,35190430,3,-1.29
Propel,35190430,4,-0.55
Propel,35190430,5,-0.71
Propel,35190430,6,-0.58
Propel,35190430,7,-0.58
Propel,35190430,8,-1.25
Leap,34859062,1,-0.71
Leap,34859062,2,-0.71
Leap,34859062,3,-1.07
Leap,34859062,4,1.41
Leap,34859062,5,1.22
Leap,34859062,6,1.41
Leap,34859062,7,0.71
Leap,34859062,8,0.71
Leap,35068170,1,-0.71
Leap,35068170,2,-0.71
Leap,35068170,3,-0.27
Leap,35068170,4,-0.71
Leap,35068170,5,0.00
Leap,35068170,6,-0.71
Leap,35068170,7,0.71
Leap,35068170,8,0.71
Leap,35087533,1,1.41
Leap,35087533,2,1.41
Leap,35087533,3,1.34
Leap,35087533,4,-0.71
Leap,35087533,5,-1.22
Leap,35087533,6,-0.71
Leap,35087533,7,-1.41
Leap,35087533,8,-1.41
New directions,34861594,1,-0.27
New directions,34861594,2,1.34
New directions,34861594,3,0.86
New directions,34861594,4,0.71
New directions,34861594,5,1.22
New directions,34861594,6,0.00
New directions,34861594,7,0.00
New directions,34861594,8,-1.22
New directions,35179272,1,1.34
New directions,35179272,2,-0.27
New directions,35179272,3,0.54
New directions,35179272,4,0.71
New directions,35179272,5,0.00
New directions,35179272,6,0.00
New directions,35179272,7,1.22
New directions,35179272,8,1.22
New directions,35188492,1,-1.07
New directions,35188492,2,-1.07
New directions,35188492,3,-1.40
New directions,35188492,4,-1.41
New directions,35188492,5,-1.22
New directions,35188492,6,0.00
New directions,35188492,7,-1.22
New directions,35188492,8,0.00
